word,surprisal,avg_rt
and,4.34754,291.1378947368421
and,6.46461,371.56952380952384
indifference,17.4105,385.0084210526316
to,3.54835,347.2166666666666
risking,17.9537,314.293
or,8.86325,356.03190476190474
a,10.1286,338.48
He,5.6328,326.082
was,4.8669,307.50571428571425
also,7.13545,302.51047619047614
at,10.7438,280.3766666666667
this,6.61814,279.13142857142856
although,14.5276,341.93761904761897
not,11.0408,290.4085714285714
so,7.12663,287.25380952380954
in,5.99838,354.8528571428571
high,13.8346,414.8090476190476
politics,14.2573,337.08500000000004
and,6.96339,314.34857142857135
the,4.5622,311.63190476190476
as,7.91498,297.5225000000001
and,4.54236,344.4385714285715
the,6.16037,338.6195238095238
most,8.8704,354.912
powerful,8.92844,352.5828571428571
and,4.66709,302.16571428571433
most,9.36565,341.13050000000004
dangerous,11.0794,317.18149999999997
mob,17.4305,278.51952380952383
leader,12.8466,293.8857142857143
in,4.07472,274.45476190476194
the,2.36755,254.12428571428566
Chicago,12.1494,265.08190476190475
the,6.52863,363.2038095238096
back,10.9237,316.2121428571428
and,4.88343,281.36285714285714
customers,11.619,391.515
hastily,16.7883,347.9964285714286
vacated,16.0842,325.65000000000003
their,10.0779,342.9871428571428
tables,15.4138,294.56714285714287
as,8.43157,275.34785714285715
the,4.02566,236.55785714285716
tall,17.2678,252.11714285714285
young,13.5453,304.3469230769231
pushed,14.0586,267.785
open,12.8836,280.23
the,4.74283,256.8771428571428
swing,16.8635,283.06357142857144
doors,15.0373,261.9842857142857
and,6.51243,251.40714285714282
walked,15.2557,240.8457142857142
towards,16.4624,289.7214285714286
the,7.23425,241.3907142857143
Only,9.80304,256.55
Blue,16.2925,222.93142857142854
and,5.48786,309.86785714285713
his,7.28809,232.9121428571428
gang,17.4952,239.89571428571432
stayed,15.1546,298.50999999999993
where,11.7837,286.5435714285714
they,5.01782,265.6478571428572
Blue,14.6762,234.62461538461545
was,9.00098,270.78857142857134
slumped,16.5201,325.1478571428571
with,8.34993,338.9715384615384
his,6.26318,295.9278571428572
back,12.567,241.32000000000005
against,8.78544,248.6785714285715
the,2.13128,235.63142857142861
supporting,14.4183,305.8757142857143
his,6.42282,304.7478571428572
massive,14.9608,288.9642857142857
He,5.6328,300.8784615384615
at,7.86494,291.10071428571433
the,2.11099,255.3342857142857
stranger,18.1718,258.86307692307696
as,8.24676,289.5571428571429
the,4.02566,260.2578571428571
distance,14.9956,275.7707142857143
between,5.54835,274.5142857142857
them,8.92684,272.2907142857143
when,10.0084,254.5142857142857
did,11.5577,242.156923076923
they,8.71739,257.51153846153846
allow,15.0622,243.18928571428572
kids,14.729,320.334
into,9.64526,304.9714285714286
the,2.33354,275.46571428571434
bars,15.7234,270.68461538461537
of,7.04607,285.11769230769227
this,6.96085,276.38642857142855
he,13.2847,327.66285714285715
to,6.60467,273.36785714285713
me,10.5547,227.88642857142852
I,11.7312,244.42285714285714
remember,14.8492,249.99214285714285
any,12.2238,327.61785714285713
law,11.8608,270.0864285714286
about,10.0459,251.31285714285713
He,5.6328,271.4478571428571
alert,16.2697,287.63428571428574
now,10.5234,322.3542857142857
as,8.53834,259.1114285714285
the,4.02566,267.0114285714286
came,13.356,296.45384615384614
